facId,name,Level,type,address,city,state,zip,phone,hours,travelDays,lat,long
A11,Anchorage TRACON,8,TRACON,5200 W International Airport Rd,Anchorage,AK,99502,907-271-2700,0000-2359,9,61.17735,-149.97821
A80,Atlanta TRACON,12,TRACON,784 S Hwy 74,Peachtree City,GA,30269,678-364-6000,0000-2359,2,33.351769,-84.550204
A90,Boston TRACON,11,TRACON,25 Robert Milligan Pkwy,Merrimack,NH,03054,603-594-5500,0000-2359,4,42.816611,-71.493611
ABE,Allentown Tower,7,COMBINED TRACON TOWER,135 Fashion Dr S,Allentown,PA,18109,610-264-4539,0000-2359,3,40.658198,-75.441448
ABI,Abilene Tower,6,COMBINED TRACON TOWER,2925 Lance Dr,Abilene,TX,79602,325-201-9442,0000-2359,1,32.414646,-99.67937
ABQ,Albuquerque Tower,8,COMBINED TRACON TOWER,2800 Kirtland Dr SE,Albuquerque,NM,87117,505-856-4900,0000-2359,2,35.04877,-106.606432
ACK,Nantucket Tower,5,TOWER WITH RADAR,14 Airport Rd Unit 14,Nantucket,MA,02554,508-563-1487,0600-2200 MAY 15-SEP 30; 0600-2100 OCT 1-MAY 14,4,41.257091,-70.06338
ACT,Waco Tower,6,COMBINED TRACON TOWER,7909 Karl May Dr,Waco,TX,76708,254-759-3015,0600-0000,1,31.60754,-97.219666
ACY,Atlantic City Tower,6,COMBINED TRACON TOWER,Atlantic City International Airport,Atlantic City,NJ,08405,603-641-3940,0000-2359,4,39.455563,-74.58804
ADS,Addison Tower,6,TOWER WITH RADAR,16000 Dooley Rd,Addison,TX,75001,972-628-2403,0600-2200,1,32.967854,-96.83841
ADW,Andrews Tower,5,TOWER WITH RADAR,FAA Andrews Air Base ATCT,Andrews AFB,MD,20762,240-312-4096,0000-2359,3,38.80519,-76.87741
AFW,Alliance Tower,6,TOWER WITH RADAR,2300 Alliance Blvd,Fort Worth,TX,76177,817-491-6100,0000-2359,1,32.986794,-97.312874
AGC,Allegheny Tower,5,TOWER WITH RADAR,12 Allegheny County Airport,West Mifflin,PA,15122,412-461-4388,0000-2359,3,40.35061,-79.927025
AGS,Augusta Tower,6,COMBINED TRACON TOWER,1540 Hangar Rd,Augusta,GA,30906,706-798-5198,0645-2300,3,33.369617,-81.971674
ALB,Albany Tower,6,COMBINED TRACON TOWER,128 Sicker Rd,Latham,NY,12110,518-862-1600,0000-2359,4,42.751377,-73.80147
ALO,Waterloo Tower,5,COMBINED TRACON TOWER,2740 Livingston La,Waterloo,IA,50703,319-233-7230,0600-2000,2,42.550556,-92.39454
AMA,Amarillo Tower,6,COMBINED TRACON TOWER,2000 English Rd,Amarillo,TX,79108,806-335-4090,0600-0000,1,35.23306,-101.70626
ANC,Anchorage Tower,8,TOWER WITH RADAR,5200 W International Airport Rd,Anchorage,AK,99502,907-271-2700,0000-2359,9,61.17735,-149.97821
APA,Centennial Tower,8,TOWER WITH RADAR,7800 S Peoria St E Wing,Englewood,CO,80112,720-873-2770,0000-2359,2,39.575131,-104.84536
APC,Napa Tower,5,TOWER WITH RADAR,4000 Airport Rd,Napa,CA,94558,707-255-1533,0700-2000,4,38.20654,-122.27591
